"carro","tempo","link_yt","data_publicacao","duracao_video_min","views","likes","dislikes","url_thumbnail","data_captura"
"Peugeot 208 Griffe",73.704,"https://www.youtube.com/watch?v=UmD6B4M_SFw","13/04/2015",0.25,239795,5245,44,"https://i.ytimg.com/vi/UmD6B4M_SFw/maxresdefault.jpg","29/08/2020"
"Ford Fiesta 1.0 EcoBoost",73.906,"https://www.youtube.com/watch?v=cM0rtdPg6fA","17/04/2017",0.25,231125,13356,107,"https://i.ytimg.com/vi/cM0rtdPg6fA/maxresdefault.jpg","29/08/2020"
"Fiat Bravo T-Jet",73.979,"https://www.youtube.com/watch?v=7gDnj6vh_hw","6/04/2015",0.25,1110094,15908,309,"https://i.ytimg.com/vi/7gDnj6vh_hw/maxresdefault.jpg","29/08/2020"
"Fiat Coupé 1995",74.163,"https://www.youtube.com/watch?v=B-gq3F-hbT8","25/06/2018",0.25,198056,19908,140,"https://i.ytimg.com/vi/B-gq3F-hbT8/maxresdefault.jpg","29/08/2020"
"Fiat Argo HGT",74.399,"https://www.youtube.com/watch?v=XVT-W0G0MTE","23/10/2017",0.25,213517,11204,504,"https://i.ytimg.com/vi/XVT-W0G0MTE/maxresdefault.jpg","29/08/2020"
"Toyota Corolla Altis",74.419,"https://www.youtube.com/watch?v=rZp7VvbdT-E","30/11/2015",0.25,1167977,20218,476,"https://i.ytimg.com/vi/rZp7VvbdT-E/maxresdefault.jpg","29/08/2020"
"Citroën Xsara VTS 1998",74.438,"https://www.youtube.com/watch?v=e1owfliMyj8","26/11/2018",0.25,154133,15630,143,"https://i.ytimg.com/vi/e1owfliMyj8/maxresdefault.jpg","29/08/2020"
"Audi S4 Avant do Chefe",74.448,"https://www.youtube.com/watch?v=j679ET1ax3k","20/03/2015",0.25,455652,15130,58,"https://i.ytimg.com/vi/j679ET1ax3k/maxresdefault.jpg","29/08/2020"
"Hyundai HB20 1.6",74.551,"https://www.youtube.com/watch?v=sXRsWvPA8JA","21/09/2015",0.25,249201,7499,92,"https://i.ytimg.com/vi/sXRsWvPA8JA/maxresdefault.jpg","29/08/2020"
"Volkswagen Golf GTI 2004",74.606,"https://www.youtube.com/watch?v=I1Ar_8hk5GM","22/02/2016",15.05,1060932,28284,350,"https://i.ytimg.com/vi/I1Ar_8hk5GM/maxresdefault.jpg","29/08/2020"
"Ford EcoSport 2.0 Titanium",74.752,"https://www.youtube.com/watch?v=zwtchm9s9sA","31/07/2017",13.72,181024,10058,834,"https://i.ytimg.com/vi/zwtchm9s9sA/maxresdefault.jpg","29/08/2020"
"Hyundai HB20 Diamond Plus",74.876,"https://www.youtube.com/watch?v=745j5he0dPQ","11/11/2019",0.25,544623,32680,401,"https://i.ytimg.com/vi/745j5he0dPQ/maxresdefault.jpg","29/08/2020"
"Hyundai HB20 1.6 AT",74.893,"https://www.youtube.com/watch?v=9Zq5co3k7BY","16/10/2017",5.53,90546,8721,124,"https://i.ytimg.com/vi/9Zq5co3k7BY/maxresdefault.jpg","29/08/2020"
"Honda HR-V EXL",74.97,"https://www.youtube.com/watch?v=wYQNolIumxk","15/02/2016",0.25,910516,18811,378,"https://i.ytimg.com/vi/wYQNolIumxk/maxresdefault.jpg","29/08/2020"
"Fiat Tempra Turbo 1994",74.974,"https://www.youtube.com/watch?v=vn-iZSUGsfE","28/11/2016",0.25,1235988,45045,545,"https://i.ytimg.com/vi/vn-iZSUGsfE/maxresdefault.jpg","29/08/2020"
"HB20 Turbo (etanol)",74.982,"https://www.youtube.com/watch?v=-y6Z1No4aeQ","2/05/2016",8.73,469018,12393,151,"https://i.ytimg.com/vi/-y6Z1No4aeQ/maxresdefault.jpg","29/08/2020"
"Chevrolet Calibra 1994",75.003,"https://www.youtube.com/watch?v=o50BqdFqOXE","2/07/2018",10.18,146927,14703,79,"https://i.ytimg.com/vi/o50BqdFqOXE/maxresdefault.jpg","29/08/2020"
"VW up! TSI",75.022,"https://www.youtube.com/watch?v=6hI7F8S27Gc","11/01/2016",0.25,1280871,25735,492,"https://i.ytimg.com/vi/6hI7F8S27Gc/maxresdefault.jpg","29/08/2020"
"VW Gol Rallye",75.029,"https://www.youtube.com/watch?v=bjW01V8W4z4","31/08/2015",0.25,754640,13846,236,"https://i.ytimg.com/vi/bjW01V8W4z4/maxresdefault.jpg","29/08/2020"
"Jac J2",75.256,"https://www.youtube.com/watch?v=fksZBN4iuDo","28/10/2014",0.25,220385,5207,71,"https://i.ytimg.com/vi/fksZBN4iuDo/maxresdefault.jpg","29/08/2020"
"Volkswagen Gol GTi",75.259,"https://www.youtube.com/watch?v=IUeld01jKI0","7/10/2014",0.25,1316882,24268,408,"https://i.ytimg.com/vi/IUeld01jKI0/maxresdefault.jpg","29/08/2020"
"Chevrolet Vectra GSi 1995",75.289,"https://www.youtube.com/watch?v=FxZYJ5Xrnxc","11/07/2016",0.25,1378385,37249,710,"https://i.ytimg.com/vi/FxZYJ5Xrnxc/maxresdefault.jpg","29/08/2020"
"Dodge Durango Limited",75.313,"https://www.youtube.com/watch?v=o1is4bSb7Hg","20/04/2015",0.25,147815,4847,21,"https://i.ytimg.com/vi/o1is4bSb7Hg/maxresdefault.jpg","29/08/2020"
"Fiat Cronos 1.8",75.454,"https://www.youtube.com/watch?v=zQXdVTGd2bk","26/03/2018",5.73,197007,10212,259,"https://i.ytimg.com/vi/zQXdVTGd2bk/maxresdefault.jpg","29/08/2020"
"VW Gol GTi ’96",75.504,"https://www.youtube.com/watch?v=yIo_od5GLHc","1/10/2015",0.25,1283439,23116,534,"https://i.ytimg.com/vi/yIo_od5GLHc/maxresdefault.jpg","29/08/2020"
"Honda WR-V",75.509,"https://www.youtube.com/watch?v=5wg5EXp7GeI","13/03/2017",0.1,279722,10508,260,"https://i.ytimg.com/vi/5wg5EXp7GeI/maxresdefault.jpg","29/08/2020"
"Chevrolet S10 High Country",75.615,"https://www.youtube.com/watch?v=lAWrlvQofkw","30/09/2019",0.25,539475,33110,312,"https://i.ytimg.com/vi/lAWrlvQofkw/maxresdefault.jpg","29/08/2020"
"Toyota Corolla Altis Hybrid",75.631,"https://www.youtube.com/watch?v=_7mkH6PhX18","9/12/2019",0.25,125688,9382,264,"https://i.ytimg.com/vi/_7mkH6PhX18/maxresdefault.jpg","29/08/2020"
"Honda Civic VTi ’97",75.667,"https://www.youtube.com/watch?v=GxYILgQM654","20/02/2015",0.25,159107,4221,42,"https://i.ytimg.com/vi/GxYILgQM654/maxresdefault.jpg","29/08/2020"
"Alfa 156 2001 do Cassio",75.672,"https://www.youtube.com/watch?v=iZRqqXHu_3E","7/05/2018",0.25,314842,21973,161,"https://i.ytimg.com/vi/iZRqqXHu_3E/maxresdefault.jpg","29/08/2020"
"Toyota Etios XLS Platinum",75.745,"https://www.youtube.com/watch?v=6hI7F8S27Gc","11/01/2016",0.25,1280871,25735,492,"https://i.ytimg.com/vi/6hI7F8S27Gc/maxresdefault.jpg","29/08/2020"
"Kia Cerato",75.817,"https://www.youtube.com/watch?v=hjjmf6Bv_eM","25/09/2017",0.25,455718,18841,239,"https://i.ytimg.com/vi/hjjmf6Bv_eM/maxresdefault.jpg","29/08/2020"
"Chevrolet S10 SS 1995",75.862,"https://www.youtube.com/watch?v=qbOSzsXTbpI","13/08/2018",0.38,220375,22639,94,"https://i.ytimg.com/vi/qbOSzsXTbpI/maxresdefault.jpg","29/08/2020"
"Fiat Stilo Abarth 2003",75.914,"https://www.youtube.com/watch?v=vn-iZSUGsfE","28/11/2016",0.25,1235988,45045,545,"https://i.ytimg.com/vi/vn-iZSUGsfE/maxresdefault.jpg","29/08/2020"
"VW Fox Pepper",75.95,"https://www.youtube.com/watch?v=RJfbKj_Dp_I","13/07/2015",0.25,220951,5005,49,"https://i.ytimg.com/vi/RJfbKj_Dp_I/maxresdefault.jpg","29/08/2020"
"Honda Civic EXR",75.971,"https://www.youtube.com/watch?v=rZp7VvbdT-E","30/11/2015",0.25,1167978,20218,476,"https://i.ytimg.com/vi/rZp7VvbdT-E/maxresdefault.jpg","29/08/2020"
"Nissan March 1.6 CVT",76.063,"https://www.youtube.com/watch?v=gBXaMCmRyhA","3/04/2017",0.25,149660,6899,108,"https://i.ytimg.com/vi/gBXaMCmRyhA/maxresdefault.jpg","29/08/2020"
"HB20 Turbo (gasolina)",76.19,"https://www.youtube.com/watch?v=-y6Z1No4aeQ","2/05/2016",8.73,469018,12393,151,"https://i.ytimg.com/vi/-y6Z1No4aeQ/maxresdefault.jpg","29/08/2020"
"Hyundai i30",76.192,"https://www.youtube.com/watch?v=38LAWAZ7myw","6/06/2016",0.25,425819,12439,105,"https://i.ytimg.com/vi/38LAWAZ7myw/maxresdefault.jpg","29/08/2020"
"Renault Duster Oroch",76.198,"https://www.youtube.com/watch?v=Ee6J73Vk0_k","18/04/2016",0.25,1710167,32403,1968,"https://i.ytimg.com/vi/Ee6J73Vk0_k/maxresdefault.jpg","29/08/2020"
"Honda Civic VTi ’95",76.255,"https://www.youtube.com/watch?v=2S3RCOV-7Xw","13/02/2015",0.25,245492,5787,52,"https://i.ytimg.com/vi/2S3RCOV-7Xw/maxresdefault.jpg","29/08/2020"
"Ford Fiesta Sport",76.263,"https://www.youtube.com/watch?v=6hI7F8S27Gc","11/01/2016",0.25,1280871,25735,492,"https://i.ytimg.com/vi/6hI7F8S27Gc/maxresdefault.jpg","29/08/2020"
"HB20S Turbo (gasolina)",76.319,"https://www.youtube.com/watch?v=-y6Z1No4aeQ","2/05/2016",8.73,469018,12393,151,"https://i.ytimg.com/vi/-y6Z1No4aeQ/maxresdefault.jpg","29/08/2020"
"Fiat Palio Sporting",76.533,"https://www.youtube.com/watch?v=bjW01V8W4z4","31/08/2015",0.25,754640,13846,236,"https://i.ytimg.com/vi/bjW01V8W4z4/maxresdefault.jpg","29/08/2020"
"Fiat Idea Sporting",76.572,"https://www.youtube.com/watch?v=3nWyVYE3eYE","16/04/2018",0.25,85124,8438,183,"https://i.ytimg.com/vi/3nWyVYE3eYE/maxresdefault.jpg","29/08/2020"
"Fiat Uno Turbo ’94",76.597,"https://www.youtube.com/watch?v=yIo_od5GLHc","1/10/2015",0.25,1283439,23116,534,"https://i.ytimg.com/vi/yIo_od5GLHc/maxresdefault.jpg","29/08/2020"
"Toyota Yaris 1.5 XLS",76.637,"https://www.youtube.com/watch?v=ycrvRoB1vtc","22/10/2018",0.25,302986,14185,108,"https://i.ytimg.com/vi/ycrvRoB1vtc/maxresdefault.jpg","29/08/2020"
"Jeep Renegade Diesel",76.651,"https://www.youtube.com/watch?v=wYQNolIumxk","15/02/2016",0.25,910516,18811,378,"https://i.ytimg.com/vi/wYQNolIumxk/maxresdefault.jpg","29/08/2020"
"Dodge Dart 74",76.734,"https://www.youtube.com/watch?v=CCa78pUNeL0","23/09/2014",0.25,478739,10436,80,"https://i.ytimg.com/vi/CCa78pUNeL0/maxresdefault.jpg","29/08/2020"
"Citroën C2 VTS 2006",76.753,"https://www.youtube.com/watch?v=oOhLeLigsT8","3/12/2018",0.25,109108,10628,97,"https://i.ytimg.com/vi/oOhLeLigsT8/maxresdefault.jpg","29/08/2020"
"Fiat Tipo Sedicivalvole 1995",76.813,"https://www.youtube.com/watch?v=vn-iZSUGsfE","28/11/2016",0.25,1235988,45045,545,"https://i.ytimg.com/vi/vn-iZSUGsfE/maxresdefault.jpg","29/08/2020"
